name,author,narrator,duration_minutes,release_date,language,star_rating,num_ratings,price_inr
Nightshade,Anthony Horowitz,RupertDegas,607,2020-05-28,English,4.5,11.0,645.0
Mystery of the Phantom Heist,Franklin W.Dixon,TimGregory,179,2015-11-02,English,5.0,6.0,305.0
Mousse à l'école des pirates,Elise Rengot,Jean-PaulBibé,6,2022-02-15,French,,,151.0
Riding Home Through Asia,Alastair Humphreys,AlastairHumphreys,148,2022-02-11,English,,,569.0
The Boy Who Biked the World: Riding the Americas,Alastair Humphreys,AlastairHumphreys,143,2022-02-11,English,,,569.0
El Misterio de la Montaña Azul,"Mattel,Raquel Luque Benítez-traductor",GermánGijón,18,2022-02-14,Spanish,,,115.0
Grand-mère Sucre et Grand-père Chocolat,Gigi Bigot,GigiBigot,4,2022-02-11,French,,,149.0
La chambre des pirates,Valérie Cros,ChloéCardinaud,3,2022-02-09,French,,,149.0
Tapator le dinosaure,Lessoeurs Branchë,NatachaFabry,5,2022-02-09,French,,,149.0
Une pomme pour deux,Véronique Massenot,MartialLeMinoux,2,2022-02-10,French,,,149.0
Roméo et Biquette,Fabienne Teyssèdre,OlivierClément,6,2022-02-09,French,,,149.0
Bienvenue chez Vampirette,Ségolène Valente,StéphanieHédin,18,2022-02-10,French,,,263.0
"Toc, toc ! Qui est là ?",Lessoeurs Branchë,OlivierClément,3,2022-02-09,French,,,149.0
Un poisson nommé Marina,Mathilde Lossel,NatachaFabry,6,2022-02-09,French,,,149.0
Du lait pour mon chat,Pascale Chenel,VanessaParachou,3,2022-02-10,French,,,149.0
Le grand voyage de Nils Holgersson,Catherinede Lasa,PatriceBaudrier,8,2022-02-10,French,,,187.0
Qui veut jouer avec Renard ?,Lessoeurs Branchë,Jean-PaulBibé,3,2022-02-09,French,,,149.0
Le petit roi Moi Moi Moi !,Jean Leroy,MartialLeMinoux,2,2022-02-10,French,,,149.0
Pas de lunettes sur ma tête !,Myriam Doinet,AnneLehmann,6,2022-02-09,French,,,149.0
Penny Berry y la batalla de Cairngorms,Lluis Prats,ArantxadeSarabia,422,2022-02-09,Spanish,,,307.0
